레포지토리,태그,릴리스명,생성일,배포일,생성일(ISO),배포일(ISO),배포년도,배포월,배포일,요일(0-6),주말여부,초안여부,프리릴리스여부,릴리스노트 길이,릴리스노트 존재여부,생성일로부터 배포까지 일수
daangn/stackflow,@stackflow/plugin-renderer-basic@1.1.12,@stackflow/plugin-renderer-basic@1.1.12,8/14/2024,8/14/2024,2024-08-14T05:38:36.000Z,2024-08-14T05:39:05.000Z,2024,8,14,3,false,false,false,1,true,0
daangn/stackflow,@stackflow/plugin-preload@1.4.1,@stackflow/plugin-preload@1.4.1,8/14/2024,8/14/2024,2024-08-14T05:38:36.000Z,2024-08-14T05:38:59.000Z,2024,8,14,3,false,false,false,1,true,0
daangn/stackflow,@stackflow/plugin-map-initial-activity@1.0.10,@stackflow/plugin-map-initial-activity@1.0.10,8/14/2024,8/14/2024,2024-08-14T05:38:36.000Z,2024-08-14T05:38:55.000Z,2024,8,14,3,false,false,false,1,true,0
daangn/stackflow,@stackflow/plugin-history-sync@1.6.2,@stackflow/plugin-history-sync@1.6.2,8/14/2024,8/14/2024,2024-08-14T05:38:36.000Z,2024-08-14T05:39:02.000Z,2024,8,14,3,false,false,false,1,true,0
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.14,@stackflow/plugin-google-analytics-4@1.1.14,8/14/2024,8/14/2024,2024-08-14T05:38:36.000Z,2024-08-14T05:38:52.000Z,2024,8,14,3,false,false,false,1,true,0
daangn/stackflow,@stackflow/plugin-devtools@0.1.11,@stackflow/plugin-devtools@0.1.11,8/14/2024,8/14/2024,2024-08-14T05:38:36.000Z,2024-08-14T05:38:50.000Z,2024,8,14,3,false,false,false,1,true,0
daangn/stackflow,@stackflow/plugin-basic-ui@1.9.1,@stackflow/plugin-basic-ui@1.9.1,8/14/2024,8/14/2024,2024-08-14T05:38:36.000Z,2024-08-14T05:38:46.000Z,2024,8,14,3,false,false,false,54,true,0
daangn/stackflow,@stackflow/link@1.4.4,@stackflow/link@1.4.4,8/14/2024,8/14/2024,2024-08-14T05:38:36.000Z,2024-08-14T05:38:43.000Z,2024,8,14,3,false,false,false,1,true,0
daangn/stackflow,@stackflow/core@1.1.0,@stackflow/core@1.1.0,8/14/2024,8/14/2024,2024-08-14T05:38:36.000Z,2024-08-14T05:38:38.000Z,2024,8,14,3,false,false,false,80,true,0
daangn/stackflow,@stackflow/compat-await-push@1.1.12,@stackflow/compat-await-push@1.1.12,8/14/2024,8/14/2024,2024-08-14T05:38:36.000Z,2024-08-14T05:38:40.000Z,2024,8,14,3,false,false,false,1,true,0
daangn/stackflow,@stackflow/react@1.2.2,@stackflow/react@1.2.2,8/8/2024,8/8/2024,2024-08-08T02:42:04.000Z,2024-08-08T02:42:12.000Z,2024,8,8,4,false,false,false,100,true,0
daangn/stackflow,@stackflow/react-ui-core@1.1.0,@stackflow/react-ui-core@1.1.0,8/8/2024,8/8/2024,2024-08-08T02:42:04.000Z,2024-08-08T02:42:09.000Z,2024,8,8,4,false,false,false,97,true,0
daangn/stackflow,@stackflow/plugin-history-sync@1.6.1,@stackflow/plugin-history-sync@1.6.1,8/8/2024,8/8/2024,2024-08-08T03:53:09.000Z,2024-08-08T03:53:13.000Z,2024,8,8,4,false,false,false,95,true,0
daangn/stackflow,@stackflow/plugin-basic-ui@1.9.0,@stackflow/plugin-basic-ui@1.9.0,8/8/2024,8/8/2024,2024-08-08T02:42:04.000Z,2024-08-08T02:42:06.000Z,2024,8,8,4,false,false,false,191,true,0
daangn/stackflow,@stackflow/core@1.0.14,@stackflow/core@1.0.14,8/8/2024,8/8/2024,2024-08-08T03:53:09.000Z,2024-08-08T03:53:10.000Z,2024,8,8,4,false,false,false,95,true,0
daangn/stackflow,@stackflow/plugin-preload@1.4.0,@stackflow/plugin-preload@1.4.0,8/2/2024,8/2/2024,2024-08-02T01:22:01.000Z,2024-08-02T01:22:05.000Z,2024,8,2,5,false,false,false,119,true,0
daangn/stackflow,@stackflow/plugin-basic-ui@1.8.4,@stackflow/plugin-basic-ui@1.8.4,8/2/2024,8/2/2024,2024-08-02T01:22:01.000Z,2024-08-02T01:22:03.000Z,2024,8,2,5,false,false,false,106,true,0
daangn/stackflow,@stackflow/react@1.2.1,@stackflow/react@1.2.1,7/31/2024,7/31/2024,2024-07-31T12:47:27.000Z,2024-07-31T12:47:28.000Z,2024,7,31,3,false,false,false,80,true,0
daangn/stackflow,@stackflow/react@1.2.0,@stackflow/react@1.2.0,7/31/2024,7/31/2024,2024-07-31T10:06:34.000Z,2024-07-31T10:07:05.000Z,2024,7,31,3,false,false,false,286,true,0
daangn/stackflow,@stackflow/plugin-renderer-web@1.1.11,@stackflow/plugin-renderer-web@1.1.11,7/31/2024,7/31/2024,2024-07-31T10:06:34.000Z,2024-07-31T10:07:02.000Z,2024,7,31,3,false,false,false,1,true,0
daangn/stackflow,@stackflow/plugin-renderer-basic@1.1.11,@stackflow/plugin-renderer-basic@1.1.11,7/31/2024,7/31/2024,2024-07-31T10:06:34.000Z,2024-07-31T10:06:59.000Z,2024,7,31,3,false,false,false,1,true,0
daangn/stackflow,@stackflow/plugin-preload@1.3.3,@stackflow/plugin-preload@1.3.3,7/31/2024,7/31/2024,2024-07-31T10:06:34.000Z,2024-07-31T10:06:56.000Z,2024,7,31,3,false,false,false,169,true,0
